id,title
fef2e4da-36f9-48e9-8317-2516f4b6ab14,"Tensei Kizoku, Kantei Skill de Nariagaru ~Jakushou Ryouchi wo Uketsuida node, Yuushuu na Jinzai wo Fuyashiteitara, Saikyou Ryouchi ni Natteta~"
c466ced0-ec48-47c1-a8cf-d5ff1fe9d0d2,Shokei Sareta Kenja wa Lich ni Tensei Shite Shinryaku-sensou wo Hajimeru
cddd1849-ab36-4304-8103-06ba4062b5e6,Kubo-san wa Mob wo Yurusanai
5d1fc77e-706a-4fc5-bea8-486c9be0145d,
14569f2f-f66a-4c67-ac7f-a37823a0fa23,Villains Are Destined to Die
32fdfe9b-6e11-4a13-9e36-dcd8ea77b4e4,"Kanojo, Okarishimasu"
9484b1fd-0271-4c9b-b096-7e313823058e,
4754fc66-6bcb-4cc3-98ec-10f585cc55f3,
1f40b922-6abb-418e-a7e9-cc4d25b21439,Saihate no Paladin
feff4eaf-01df-4a05-83f4-68bb5cdf4fad,Mahou Shoujo ni Akogarete
6b06fe1e-ff99-4c8d-be0b-5ad2a4df7603,Kajiya de Hajimeru Isekai Slow Life
1f5a94b3-08f9-4b58-8354-db5cf22043d6,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu"
0aea9f43-d4a9-4bf7-bebc-550a512f9b95,Shikimori's Not Just a Cutie
30196491-8fc2-4961-8886-a58f898b1b3e,Boushoku no Berserk ~Ore dake Level to Iu Gainen wo Toppa suru~
18f3e34b-2bad-4e35-8ea6-a0cbae52f76b,"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku"
fc6bbfc4-08f3-432d-914b-7fec244c001e,"Shin no Nakama janai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita"
1fc3d326-c037-43fa-8953-ed52a56caa18,Osoraku Kanojo wa Ore no Aniki wo Neratteru
dc332d04-d3b0-413c-a767-70f5e451b031,Kuro no Shoukanshi
f81026af-1b41-465c-932b-291ce4760c00,"Tensei Kenja no Isekai Life ~Daini no Shokugyou wo Ete, Sekai Saikyou ni Narimashita~"
304ceac3-8cdb-4fe7-acf7-2b6ff7a60613,Attack on Titan
30f3ac69-21b6-45ad-a110-d011b7aaadaa,Tonikaku Kawaii
4bf066dc-3a6d-4c33-997b-6033208c4176,"Henkyou Mob Kizoku no Uchi ni Totsuidekita Akuyaku Reijou ga, Mechakucha Dekiru Yoi Yome Nanda ga?"
76424fe0-ec26-400c-a0c9-93a17114a4ae,My Favorite VTuber Is Scary IRL
22d6d048-9f9f-4c3a-95c2-3b145f110e20,I'm in Love with the Villainess
fa197a3e-6dd6-470d-91e4-c0130a1392d3,
4f3bcae4-2d96-4c9d-932c-90181d9c873e,Boku no Hero Academia
ffbd1ee1-65e8-45d4-ba03-6441f584b74b,Chounin A wa Akuyaku Reijou wo Doushitemo Sukuitai ~Dobu to Sora to Koori no Himegimi~
6a8a10f6-b56e-47b4-8a36-951bec3900f0,My New Girlfriend Is Not Human?
d8323b7b-9a7a-462b-90f0-2759fed52511,Dosanko Gal wa Namara Menkoi
df361a38-eef6-4674-bec6-86d08aa1d1aa,Ogami Tsumiki to Kinichijou.
237d527f-adb5-420e-8e6e-b7dd006fbe47,Kaiju No. 8
eb5a4a48-61c3-4f0a-a2c3-1c284b4752ce,Rettou Gan no Tensei Majutsushi ~ Shiitagerareta Moto Yuusha wa Mirai no Sekai o Yoyuu de Ikinuku ~
520b0898-9ad1-4121-aa3b-a2f22e0cf371,Game of Familia: Kazoku Senki
a920060c-7e39-4ac1-980c-f0e605a40ae4,Gal Yome no Himitsu
eb1e9858-5d3c-4c3e-a394-12c5b4d0b55f,Re:Monster
46596dea-95de-40e8-b2b8-4e63aa6acd1a,Tensei Oujo to Tensai Reijou no Mahou Kakumei
de9e3b62-eac5-4c0a-917d-ffccad694381,Sometimes Even Reality Is a Lie!
d6e9b748-9187-4f93-a5df-b802c567f60c,
c6bbbeca-f4fd-4595-9d4d-4ba31370d08c,
4187856d-65a9-4fb4-98ec-84c0bf16631f,Kamitachi ni Hirowareta Otoko
879af0bb-ce30-47e4-a74e-cd1ce874c6e3,Isekai Nonbiri Nouka
9b3d1a67-941f-4538-9e75-3797eeb3771f,"A Story About Treating a Female Knight, Who Has Never Been Treated as a Woman, as a Woman"
80c4c4bc-be9c-400a-8cc0-57b1d0b8a87f,Hige wo Soru. Soshite Joshikousei wo Hirou.
4ada20eb-085a-491a-8c49-477ab42014d7,The Beginning After the End
96471a2c-59f3-4a08-be7d-640bc0c022a4,May I Ask for One Final Thing?
789642f8-ca89-4e4e-8f7b-eee4d17ea08b,Demon Slayer: Kimetsu no Yaiba
45ed7ed8-23b3-45bf-9b9c-da6e9e88f747,
6bae5c8c-d5ff-43df-acf7-b7670532c8b1,Yoku Wakaranai Keredo Isekai ni Tensei Shiteita You Desu
64ed4d14-9e00-4b63-8799-547a508f5344,Parallel Paradise
1ef6ddce-7930-45ae-a335-9a45604b99f7,Genjitsushugi Yuusha no Oukoku Saikenki
c2c8e42b-b242-4c69-ad99-6b3ce4ad55de,Tensei ni Hakobijin no Isekai Kouryakuhou
f5c25341-d6ff-4585-8548-3a48fc7654d9,Momose Akira no Hatsukoi Hatan-chuu.
66f42f5f-bcb7-437b-9ae5-752c84bce709,
baa95345-24fb-47a9-83e9-434ff671f968,Super no Ura de Yani Suu Futari
8791c515-0245-4fcc-81cc-22863a0aba6b,
69dcebee-7446-4eb2-8244-d903f12a6712,The Isekai Returnee is Too OP for the Modern World
7cd3ca23-2d70-4c03-99f0-b1ee848c4dc4,Yakuza Reincarnation
8f75f85b-12f9-424e-bf65-605f8bfdc89e,Sex & Dungeon!!
af38f328-8df1-4b4c-a272-e737625c3ddc,Senpai ga Uzai Kouhai no Hanashi
ec8f26f4-bc9f-43b6-93ec-60a05638fca0,Isekai Kenkokuki
cf7b7869-3d9a-4c4d-bd06-249eba113558,
600f467c-9613-4056-aa21-bb2ecc295b84,"Osananajimi Kanojo no Morahara ga Hidoin de Zetsuen Sengen shite Yatta ~Jibun Rashiku Ikiru Koto ni Shitara, Naze ka Tonari no Seki no Kakure Bishoujo kara Kokuhaku Sareta~"
4a973243-952e-44d7-a50f-883b4b7c9cc2,
6c62d637-4004-426f-ba7f-be45e18941b6,Yankee JK Kuzuhana-chan
d993f789-e7e5-4832-92fd-37614220b427,The Skeleton Soldier Failed to Defend the Dungeon
cf58401e-91ae-452f-b79a-5c83f34f6804,
bcbf9c51-2f3c-462c-a81b-b6e5530ae00f,
e86f3c88-c91d-40a4-acbf-afaafedd4690,Makenshi no Maken Niyoru Maken no Tame no Harem Life
73bc69fa-9ba9-4533-a243-ebc11651339f,The Villainess Turns the Hourglass
4022b517-658e-4dc8-978c-bc84d5fc3457,Nidome no Jinsei o Isekai de
